icd9_hcup,icd9_omop,icd9_ccs,ccs2,ccs2_desc,hcup_desc,omop_desc,concept_id
00.50,00.50,00.50,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPLA RESYNCHR PACEMAKER W/0 (Begin 2002),"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",2000048
00.51,00.51,00.51,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPLA RESYNCHRONIZATION DEFI (Begin 2002),"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",2000049
00.52,00.52,00.52,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPL/REPL TRANSVENOUS LEAD L (Begin 2002),Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,2000050
00.53,00.53,00.53,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPL/REPL PACEMAKER PLSE GE (Begin 2002),Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],2000051
00.54,00.54,00.54,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMPL/REPL DEFIBRIL GENERATOR (Begin 2002),Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],2000052
00.56,00.56,00.56,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],INS/REP IMPL SENSOR LEAD (Begin 2006),Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring,2000054
00.57,00.57,00.57,7.6,Insertion; revision; replacement; removal of cardiac pacemaker or cardioverter/defibrillator [48.],IMP/REP SUBCUE CARD DEV  (Begin 2006),Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring,2000055
00.61,00.61,00.61,7.17,Other OR procedures on vessels of head and neck [59.],PERC ANGIO PRECEREB VESS (Begin 2004),Percutaneous angioplasty of extracranial vessel(s),2000059
00.62,00.62,00.62,7.17,Other OR procedures on vessels of head and neck [59.],PERC ANGIO INTRACRAN VES (Begin 2004),Percutaneous angioplasty of intracranial vessel(s),2000060
00.66,00.66,00.66,7.3,Percutaneous transluminal coronary angioplasty (PTCA) [45.],PTCA OR CORONARY ATHER (Begin 2005),Percutaneous transluminal coronary angioplasty [PTCA],2000064
00.70,00.70,00.70,14.7,Arthroplasty,REV HIP REPLACETAB/FEM (Begin 2005),"Revision of hip replacement, both acetabular and femoral components",2000069
00.71,00.71,00.71,14.7,Arthroplasty,REV HIP REPLACETAB COMP (Begin 2005),"Revision of hip replacement, acetabular component",2000070
00.72,00.72,00.72,14.7,Arthroplasty,REV HIP REPLFEM COMP (Begin 2005),"Revision of hip replacement, femoral component",2000071
00.73,00.73,00.73,14.7,Arthroplasty,REV HIP REPLLINER/HEAD (Begin 2005),"Revision of hip replacement, acetabular liner and/or femoral head only",2000072
00.80,00.80,00.80,14.7,Arthroplasty,REV KNEE REPLACEMTTOTAL (Begin 2005),"Revision of knee replacement, total (all components)",2000078
00.81,00.81,00.81,14.7,Arthroplasty,REV KNEE REPLTIBIA COMP (Begin 2005),"Revision of knee replacement, tibial component",2000079
00.82,00.82,00.82,14.7,Arthroplasty,REV KNEE REPLFEMUR COMP (Begin 2005),"Revision of knee replacement, femoral component",2000080
00.83,00.83,00.83,14.7,Arthroplasty,REV KNEE REPLACEPATELLA (Begin 2005),"Revision of knee replacement, patellar component",2000081
00.84,00.84,00.84,14.7,Arthroplasty,REV KNEE REPLTIBIA LIN (Begin 2005),"Revision of total knee replacement, tibial insert (liner)",2000082
00.85,00.85,00.85,14.7,Arthroplasty,RESRF HIPTOTAL-ACET/FEM (Begin 2006),"Resurfacing hip, total, acetabulum and femoral head",2000083
00.86,00.86,00.86,14.7,Arthroplasty,RESRF HIPPART-FEM HEAD  (Begin 2006),"Resurfacing hip, partial, femoral head",2000084
00.87,00.87,00.87,14.7,Arthroplasty,RESRF HIPPART-ACETABLUM (Begin 2006),"Resurfacing hip, partial, acetabulum",2000085
01.20,01.20,01.20,1.9,Other OR therapeutic nervous system procedures [9.],IMP/REPL BRAIN PULSE GEN (Begin 2010),Cranial implantation or replacement of neurostimulator pulse generator,40756794
01.21,01.21,01.21,1.1,Incision and excision of CNS [1.],CRANIAL SINUS I & D,Incision and drainage of cranial sinus,2000108
01.22,01.22,01.22,1.1,Incision and excision of CNS [1.],REMOV INTRACRAN STIMULAT,Removal of intracranial neurostimulator lead(s),2000109
01.23,01.23,01.23,1.1,Incision and excision of CNS [1.],REOPEN CRANIOTOMY SITE,Reopening of craniotomy site,2000110
01.24,01.24,01.24,1.1,Incision and excision of CNS [1.],OTHER CRANIOTOMY,Other craniotomy,2000111
01.25,01.25,01.25,1.1,Incision and excision of CNS [1.],OTHER CRANIECTOMY,Other craniectomy,2000112
01.28,01.28,01.28,1.1,Incision and excision of CNS [1.],INTRACEREB CTH-BURR HOLE (Begin 2006),Placement of intracerebral catheter(s) via burr hole(s),2000115
01.29,01.29,01.29,1.9,Other OR therapeutic nervous system procedures [9.],REM BRAIN PULSE GENERATR (Begin 2010),Removal of cranial neurostimulator pulse generator,40756798
01.31,01.31,01.31,1.1,Incision and excision of CNS [1.],INCISE CEREBRAL MENINGES,Incision of cerebral meninges,2000117
01.32,01.32,01.32,1.1,Incision and excision of CNS [1.],LOBOTOMY & TRACTOTOMY,Lobotomy and tractotomy,2000118
01.39,01.39,01.39,1.1,Incision and excision of CNS [1.],OTHER BRAIN INCISION,Other incision of brain,2000119
01.41,01.41,01.41,1.1,Incision and excision of CNS [1.],THALAMUS OPERATIONS,Operations on thalamus,2000121
01.42,01.42,01.42,1.1,Incision and excision of CNS [1.],GLOBUS PALLIDUS OPS,Operations on globus pallidus,2000122
01.51,01.51,01.51,1.1,Incision and excision of CNS [1.],EX CEREB MENINGEAL LES,Excision of lesion or tissue of cerebral meninges,2000124
01.52,01.52,01.52,1.1,Incision and excision of CNS [1.],HEMISPHERECTOMY,Hemispherectomy,2000125
01.53,01.53,01.53,1.1,Incision and excision of CNS [1.],BRAIN LOBECTOMY,Lobectomy of brain,2000126
01.59,01.59,01.59,1.1,Incision and excision of CNS [1.],OTHER BRAIN EXCISION,Other excision or destruction of lesion or tissue of brain,2000127
01.6,01.6,01.6,1.9,Other OR therapeutic nervous system procedures [9.],EXCISE SKULL LESION,Excision of lesion of skull,2000128
02.01,02.01,02.01,1.9,Other OR therapeutic nervous system procedures [9.],LINEAR CRANIECTOMY,Opening of cranial suture,2000131
02.02,02.02,02.02,1.9,Other OR therapeutic nervous system procedures [9.],ELEVATE SKULL FX FRAGMNT,Elevation of skull fracture fragments,2000132
02.03,02.03,02.03,1.9,Other OR therapeutic nervous system procedures [9.],SKULL FLAP FORMATION,Formation of cranial bone flap,2000133
02.04,02.04,02.04,1.9,Other OR therapeutic nervous system procedures [9.],BONE GRAFT TO SKULL,Bone graft to skull,2000134
02.05,02.05,02.05,1.9,Other OR therapeutic nervous system procedures [9.],SKULL PLATE INSERTION,Insertion of skull plate,2000135
02.06,02.06,02.06,1.9,Other OR therapeutic nervous system procedures [9.],CRANIAL OSTEOPLASTY NEC,Other cranial osteoplasty,2000136
